# CERBERUS BIOS family identification database
#
# Matched by substring scan of the F000 segment copyright/banner area.
# First match wins — order specific-before-general.
#
# Columns:
#   signature   Substring to scan for
#   vendor      BIOS vendor
#   family      Canonical family token
#   era         Approximate era (for context)
#   notes       Brief characterization
#
signature,vendor,family,era,notes
Award Modular BIOS,Award Software,award-modular,1989-1998,"Common on 386/486/Pentium clones"
Award BIOS,Award Software,award,1987-1999,"Generic Award signature"
Award Software Inc,Award Software,award,1987-1999,"Award copyright text"
AMIBIOS,American Megatrends,ami,1986-present,"AMI WinBIOS / HiFlex / Modern"
American Megatrends,American Megatrends,ami,1986-present,"AMI copyright"
Phoenix Technologies,Phoenix,phoenix,1984-present,"Phoenix BIOS family"
PhoenixBIOS,Phoenix,phoenix,1991-present,"Phoenix specific banner"
Compaq,Compaq Computer Corporation,compaq,1983-2002,"Compaq proprietary BIOS — typically Phoenix-based"
IBM Corp,IBM,ibm,1981-present,"IBM PC/XT/AT/PS2 original BIOS"
COPYRIGHT IBM,IBM,ibm,1981-present,"IBM BIOS copyright line"
Quadtel,Quadtel,quadtel,1988-1992,"Quadtel BIOS — often on early 386"
Microid Research,Microid Research,mr,1993-1998,"MR BIOS — enthusiast replacement"
MR BIOS,Microid Research,mr,1993-1998,"MR BIOS banner"
DTK,DTK Computer,dtk,1987-1992,"DTK clone BIOS"
Mylex,Mylex,mylex,1990-1995,"Mylex 386 BIOS"
Zenith,Zenith Data Systems,zenith,1985-1991,"Zenith laptop/desktop"
Olivetti,Olivetti,olivetti,1985-1995,"Olivetti Italian clone BIOS"
Tandy,Tandy Corporation,tandy,1984-1993,"Tandy 1000/3000/4000 family"
HP Vectra,Hewlett-Packard,hp,1985-1999,"HP Vectra line"
Dell,Dell Computer,dell,1987-present,"Dell proprietary BIOS"
Intel AMIBIOS,Intel,intel,1993-2000,"Intel motherboard BIOS (AMI-based)"
